PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
60,0,1,hlfgjkmzeyelqelffiowyzllewjpuhafpvxszvwj60,male,58.3042673861758,3,4,220845,95.23990430152982,B38,Q
61,0,1,wjrqvlsxbvkrpqyeuuudgltmucylbfcyjiykznkq61,female,27.53476364903623,5,4,13502,459.7194966467071,D46,S
62,1,2,xzincswmvzrfpzoytehaahlkyyjlublfndaaemee62,female,58.27578847213492,0,1,367230,269.9429370145535,C148,C
63,0,1,bbzywlxlviwdoluxpcsjxwryzhwkxgeuqnrahobc63,female,71.89811357442976,0,4,19928,295.98692025538463,A34,S
64,1,2,nnqhwtzxglrxuhaookgtddffhirmqefltawqjqng64,male,50.56807561365835,5,6,237798,307.14366947509177,A26,C
65,1,1,wcbpvbbbkbosznxqhckkccelipqujfdzfsfrpsgq65,female,,3,0,3101298,209.7985070638847,C95,C
66,1,3,zvdroifgbgvzukfgybqknecdqpjiqdtmgtwcajrv66,female,,4,2,C.A. 34651,481.14347663018833,C50,Q
67,0,3,hrluyslpxpwtgtbpuvpnkhcnppxgdrgsypeghbve67,male,18.674128298354063,0,4,11771,20.275782212675047,A6,S
68,0,3,emlpulwdxmdrwcfsyvdhemurasydgxysqzeqjqbu68,male,53.91761133555028,5,6,F.C.C. 13531,47.25575011421474,B79,C
69,0,2,onwsnmuothrvayghiownnpcpzihnunhnadodnnjx69,male,6.77162542223918,4,2,11771,147.29599522354718,B22,C
70,0,1,inpqfgnvzcmhgljkhlypddgzjohtbohfqjwlgxro70,female,65.61552165982522,0,1,STON/O 2. 3101292,55.21200204710619,C86,C
71,1,3,idtrssmvofkekzyhzhomrdwndbuwsoycllmoscqb71,male,22.605515385362093,3,6,347061,119.40158954313958,E25,C
72,0,3,sarporksnkqmkeikewwxuolqwalmbigdnkzswkkz72,male,25.44922109006058,0,0,STON/O 2. 3101293,23.662005679825683,C49,C
73,1,2,xlzodgdeqqdzskhjpkwemofnqxpvrnskrkrkbebx73,female,60.85858809631779,0,5,350060,475.5256515775073,A36,C
74,1,2,xkxwcdyjcajrxafrdouucsloqipzhrsximvuvzvd74,female,68.80599679292885,8,6,7267,444.7258637629962,D11,C
75,1,2,wnqlxcuczvvhcpqqndbjqzykkoyanhmvnbxfspzd75,female,6.837224482697186,4,5,113059,126.78918490600728,E12,S
76,1,1,hvlbiemykuaolijsodckiyjafezkcbjoapjxanqd76,female,10.990847708789733,2,2,2664,116.85200936552855,F38,Q
77,1,3,gvlnqzorefbcbbeecffdoykuitwkqwyphiamfwqw77,male,46.08511681720533,8,2,14973,241.09280723516264,C68,
78,1,3,kjchzmlslmtvwlyyhwkmvebklcicmblezvvghzdu78,female,24.65141113319727,0,1,2674,169.43068618774677,B96 B98,
79,0,3,txkvazcesuoowftnsbpfkvqewnhklqadxmrasxyn79,female,27.308506005504455,2,0,14313,456.07865632353895,C85,
80,0,3,rzywpqiupwblbkdlkhfoyukfpdpapgwwndiuefnr80,male,23.803669305503824,3,6,2699,5.848291372120953,C70,C
81,1,1,rnpolreqvselmpkoltdfdiovoiyejuxszqnshycu81,female,31.947133062450252,0,2,330958,102.86781459241641,B102,Q
82,1,1,sjhshexplhbnxwvvipubunnfrkykkrykioatreui82,male,3.772149227874786,0,5,113788,192.86875826707828,D48,Q
83,1,1,wgqgqygnhuqdwxscxftftlwwzifwgopyfbvsgtjm83,male,43.783830849883,0,6,371362,75.34716469707514,E36,C
84,1,1,ulykypanphucdcckiftxcvxiqmwnkrfomdjqllxn84,male,67.75694502804448,0,1,349247,43.04226088870617,F33,S
85,0,3,mriurezrvkkdbjogohwzfhmbuhfekclzpmshcjgn85,male,66.23504710136831,1,5,2631,451.6414495490103,F2,Q
86,0,2,fwvvtqllzhcsjjwsknslouurxjnwxockdxoxqfod86,male,41.76696698388357,8,6,349208,349.096381613071,A7,C
87,0,3,lhsgpdzfwqwlbgjzdxfagchxrxqaehgisygaptok87,male,58.93232264802069,3,1,11767,12.731117084563795,C93,S
88,0,2,dztmyupsojwmfbenotiekluxlrbfejospuouutfw88,female,29.36974816870096,0,5,349254,479.8198442363972,F G63,
89,1,1,wcvrcqsjgdbhsttggoxyaedcrvuojvaajldtveiq89,male,19.56547063115285,1,2,SC/PARIS 2149,313.7809994053463,A14,
90,0,3,igpuewvntywhlwplorjadrcekqsvtgyvjrxixuvk90,male,7.779104655476555,1,2,2699,176.54234743238067,B42,C
91,0,3,jofozgvoeskxgaqbrfftoihpwydeethqcsezsbei91,female,51.72936005139075,2,4,368703,493.7437577941831,B35,
92,0,3,lzhpvarneifaitcgpqqjutwkgqlnpqdqcwrlqnrk92,male,2.766818909270485,8,6,17465,177.90490613311223,D26,
93,1,1,hxrpwbzlcbiuvresxwcadtdlgtsykbrtpdsvthhh93,female,67.86311443059061,0,6,394140,433.59692591266867,A10,S
94,0,3,lgdrobbhuwwqbjhllpfcgiytiptkzrakjaijlthq94,female,66.39060644775677,1,2,2668,437.47597045328257,B19,S
95,1,2,orchymqxvlknevockewiihktufmzrmvjvatdsztj95,female,,4,4,234818,370.1112173897375,G6,
96,1,2,bhqdbwbxejixvxkvccnrcukmzrslfovvnrdjeyxz96,male,49.960790601285375,1,5,350026,300.8406357316394,B79,S
97,1,3,hagbtqoeaiwfakvzndydasxuwmkhtllbrvwgfztv97,male,62.73211636153849,3,2,112052,113.98438553662362,B22,C
98,0,3,lnuolxoifrjursubqpitxrbsqxdryrxhxomjumqg98,female,48.15310994278787,0,2,CA 2144,397.283091513761,B5,S
99,1,1,quotbprtnricyxdmshxudygpfqnianznvdqlnodx99,male,43.85850910621293,1,3,110564,199.98319312641004,B78,C
100,1,2,yexzsvnbcpxmwnovoasihgzkcxjtlhjoxpjduayp100,male,71.21964050975416,8,1,370369,171.7581634912706,D15,S
101,1,1,ckhaypmlhsqnerdxkgsluohfwmvvsbugxsquurxe101,male,44.516762120034464,5,3,2647,24.540676851213366,C103,Q
102,1,2,upilfpcvtlarryzobvktqgqicmcqfvghjzqontso102,male,10.816263974956994,4,3,6563,439.69336889311273,C2,C
103,1,1,pjqutihnncmkxbhrnunlubxosdpkxuodpjrslzma103,female,6.334561479635315,1,1,SOTON/OQ 392090,74.89123951222045,B37,C
104,1,2,jlbijrehillprmxftutfboicqtyvpqjgabltgbga104,male,74.54935626749725,8,4,250652,228.70340271789988,E12,Q
105,0,2,zvunbbgspzsbcgbkpedldlsmvjspoofoqhrakgwb105,female,47.55156367359697,3,3,349254,426.1233807967274,D20,S
106,0,3,cmwmoemswmakjwezgqusmsehmlfcfwibrlkkidur106,male,13.324038740184127,4,4,350036,305.87054401182223,C70,S
107,0,3,mjxdxlqaqqpmvfxgcbwyodimvatuanasxrzrficg107,female,19.246595609526786,0,0,349252,6.472910241835122,A31,Q
108,0,3,hbqwjftwcsfhsjqbzfywnzecuialrjhvplbffvpr108,male,48.6340773526767,2,2,248698,329.9857886738182,D49,C
109,1,2,gzgkiwcescbssmcuupyxjtuixeldjkyjsrduyjgd109,female,21.192212476197092,0,1,SOTON/O2 3101272,173.512561368943,E8,
110,0,2,wzzfrgwlwkppyzjxfxnmmqmioiuskgskzcxczwgh110,male,39.392645644436385,5,0,345767,118.08391387352901,D17,S
111,0,1,pcdmqublrzhtgkwulmmampooropdrybofdfqzyhq111,male,41.53316133774501,5,4,PC 17473,386.5685004203573,C2,S
112,0,2,kwjsholbilpnocgpnijkaohhvovvvvihurmqpkhl112,male,3.666518211107431,1,4,374910,128.85423546697504,B80,C
113,0,3,dmfkgpydttqliyqmltouifktwdhkrdqfdcqeyeur113,male,0.8203173229398468,4,2,2677,25.897459642545268,A16,
114,1,1,uypmsmebdmajocopwivfkbfkdhetcpqxxthwsvff114,male,48.75036042738206,8,6,C.A. 31921,288.1994704562989,C125,S
115,1,1,wbexsweomlhmxosojhmnyrdooyqraezfgtkelrmx115,female,78.79703147732094,2,1,315151,121.99461001521311,E46,S
116,0,3,ayjkxvycmubflrtlsxsfpifecsweucntcmrpzbjl116,female,0.5999863560372716,3,5,PC 17604,137.98626467727433,C86,C
117,0,1,gtosfapcmfddkdebzhajllrtlwyeltoexofscbfp117,male,22.5984129603841,1,3,349910,455.3440200170695,D21,Q
118,0,2,kgslzantpkjhidtvxjltdneriweeerxzvzfjmwzl118,female,51.788953722487484,5,4,PC 17604,502.73948584324523,E58,
119,0,1,ahluatufdfmcguvunymneawehycrbdauiogwfett119,male,42.33557371570942,2,3,371362,35.58797186837876,D9,Q
120,0,1,hpzbpvlosnbisamvieqgzmnyzxjhewspjesdwsmr120,male,23.02306415846522,4,0,4579,22.54624091043762,,Q
121,0,3,kgftqscoqzbdwvahozkjqwaobhffpdsncpmxktpg121,male,12.463226545960916,8,5,347464,436.46393367532966,C91,S
122,0,3,dkjxdndjscsfdnaxwpwlnslyafzfhflpqdjhcyjl122,male,54.6736646415377,4,0,SOTON/OQ 3101317,37.53613160113963,E46,Q
123,1,1,riyvucutocomedcxtevbprccwewmqacabjhxhlwd123,female,66.49662056424404,0,5,364850,46.87433925796249,C78,
124,1,3,yjvoxlxygueoaktaevyqhrqqmrytdnxzbrscuqve124,male,62.3967167802175,3,0,33638,489.96125251404095,C50,Q
125,0,3,ejslkcimzgkntzexaqbkqqissnhmfduwkscykqol125,male,37.78762223969553,1,4,350404,453.67999619995993,B42,C
126,1,1,pzumitjzstcexwjjmjhbssdvhibvfjawqscextxc126,female,45.66178682259371,4,2,112050,238.95330633966105,E50,Q
127,0,3,purhcnempocrxtqjffxtyzkykidqvmlgzeiywkev127,female,16.258475752925484,4,6,2683,205.55419273061517,,
128,0,2,hnrdbqlboqobtaokzinkvqxmdnqvljmmomnkasth128,male,20.459803917656103,8,3,367655,268.2997557431288,E121,
129,1,2,ntuxflbsuiazanovkupekqyleavzegfjqukqsjij129,female,,0,3,2668,218.2956011794836,B35,Q
130,1,2,civhmzhnjdnedyrjzzdwqlxuaswnqcdbanvkguex130,male,44.27509167271314,3,6,358585,1.0652925269365383,A16,
131,0,3,blfpcqjmklojfwdcygfxnncogenscqullwjefagg131,female,28.117943464073416,8,2,341826,245.04499048348504,F4,S
132,0,3,vvwmzbvgosihwvoxkdtbpqvjgmqrmydeqokhyhme132,female,60.84100335482041,3,5,17764,444.37984501269347,G6,S
133,1,3,mejbrdnbuzybrijyvsxitrtchtfunzqroxxebxnh133,female,32.74497885924482,3,5,2678,25.731560063952642,B58 B60,
134,0,3,lobrrkjqllggfykjokzzholejexhnavnpadrpryi134,female,45.02688393283897,0,1,349249,389.133838675166,F G63,C
135,0,2,ehtledvjcjrpadeupekeeyjotepyjvptfltrkjoq135,male,19.522170683019286,2,5,350035,207.77025715399978,D30,S
136,0,3,sfneicfjbuixluphvngqyxfmumdvfgurxubtmide136,male,71.79120028224679,8,6,349253,372.47926067852444,D30,S
137,0,3,nxhhveoikfhctzdxykwbtsbwhioqjtwjirhaftrh137,female,20.405651868585593,3,0,367228,462.2008659317675,E34,
138,0,3,gizfdywkljevqnteqkgvjzucdwuyrbdyglkdyzrh138,male,57.81953733239597,3,3,367226,254.32361085661466,D9,C
139,0,3,elaefjzfkowgbdicxeutnjubhcsesdjklfyelgwq139,male,64.48786937288982,3,2,342826,457.127316213464,E101,C
140,0,1,ducmdgjhplvvvolbmkxfqpfmtsyuqpofexduwkxk140,female,49.20222124148569,0,1,PC 17756,510.9279192787411,C62 C64,S
141,1,1,huhvbukudnahgzowwiueweaatqljdqrwprmclyya141,female,5.277679670567627,1,2,3101296,238.61222806433236,A34,
142,0,2,qaidpqcfxyumxpsfuvcmquvelmpxzionlbjmgsjf142,male,26.86811743922475,0,4,343275,23.18974584840022,E31,Q
143,0,1,kbvxvvpqebxwhorjimdvnvgeudbluqknisfiwtrp143,male,73.4358196962708,3,4,PC 17754,204.52981979898757,E36,C
144,1,2,scgsglowqmarauksdwuamoqawrohutzypqvkvnlf144,male,28.990484930186632,1,4,C.A. 2673,122.05555219627556,A34,Q
145,1,1,cbwgqveanzoazquhmqiftjnvjwifselefehyuckj145,male,6.402969654230141,5,5,382651,365.6770827673544,E63,Q
146,0,1,hiozgqpkdwuktshhutwtbvcfecwmjrxhfoybjita146,female,68.21968787549,4,2,11813,298.9668690241134,B41,S
147,0,3,ozijgmtwxkpeyvnyayeevzvtcqvfeplzgvokjyzw147,female,12.758565618690898,3,2,SC 1748,245.80692135110036,A19,Q
148,0,3,djwcxcilncdjznjhlohpdwncysjalaugsjjkgmle148,male,20.268187656766834,0,6,392096,343.36823772176336,D45,Q
149,1,2,ojavtmzrihjazfzamrefetrstmmbsfysaxgkpjqv149,male,25.087236690268448,1,4,WE/P 5735,494.5538834334464,B80,C
150,1,2,yxwqgzgolmksvfwhuavmzurdplwjxmrwgphtxlps150,male,49.59469154391887,5,4,19988,206.46477877975065,D46,S
151,0,3,urvnmlbapkhngendbojgfdosunuftnmnurvybewz151,female,51.07902966047072,4,1,PC 17593,310.6093751492998,D49,C
152,0,2,mmnobgxgeddtdgmekggpyaiyvzwfmdtebfllpmxz152,female,19.671701402904606,2,0,223596,259.5960825120589,C7,
153,0,3,vligvgjyhqvhninvgljbmtpsecxeypjgivsrimci153,male,35.90664012467943,0,5,35851,89.16815283170256,B18,S
154,0,1,cqilkmsvtzeubfccmvlhrsqrpvumoubjiryzcdsf154,female,20.989140507661826,0,4,16966,16.44303621412111,E10,S
155,1,2,mxybqcmkhtellaagrjuiqguxumzbjebtocqpowyq155,female,30.94943680245718,4,2,PC 17474,275.73732894930595,G6,Q
156,1,2,loukizoglnoaihmbsmdocwvscjtldmjgqpvbuiry156,male,16.20289808520883,5,0,C.A. 29178,103.66248116377803,B39,Q
157,1,3,goglxpmqhpxneqzzfrsnwwcfojisbdmknmgpqtui157,female,76.25198470548564,1,1,349249,123.5676518263811,B101,C
158,1,1,prcyomiytnjgsjjodczixwemcqnelkpkeglvdmsr158,male,70.75360689972723,0,1,330923,487.8263188525839,C62 C64,Q
159,1,3,gurnrasedwtdhuvhvsxspzwoayeqjdsexxwszinp159,male,43.57394445833873,2,5,113794,347.2297532743079,C91,Q
160,0,1,sitdarnpnjmitenlziakyfanxkepsvfaryjsytqa160,male,53.50906160095169,8,6,374746,377.6928736286929,B77,Q
161,0,1,gjmlzwmcbbmwcvkckbqhpkgydxdrmdixdwaxcnzu161,male,1.4174849230154594,5,3,345773,67.40257702171196,B94,C
162,1,1,athhqwlosjmvpfwbepuxftbulngxiccoppkqokyp162,male,30.64763295461479,0,3,4136,152.4097058084866,C82,Q
163,0,3,jugsgbylrxklsuuwivfocanqzmswpkqdipsnznym163,male,37.99096754008863,8,5,PC 17590,213.76163157458083,C125,Q
164,0,2,lydgcijmikrjrqaffjfpvcgawjpqltancsjvhsvf164,female,48.86360672863229,5,0,STON/O 2. 3101292,40.624717534108214,B102,
165,0,1,sahbjtshypwiavqcmjtxsubmmdppadtojekyusgu165,male,18.21259752666813,3,2,PC 17483,463.2172988785711,B71,C
166,1,1,sdvjlkmxjqbxjsxvjdqbnjazimtwylfwkyrdltly166,female,41.84101356932141,4,3,111361,193.65522690290422,D20,S
167,1,3,htuhqkpefvkastmagkktjqosbrtvymutgfriotlc167,male,14.621499590567112,4,1,3101276,328.2313562058187,A26,S
168,0,3,vfpwywcsdlpseijyvbnvmnsvdwqepbtxwqppakqx168,male,2.4437199175192172,4,2,65303,389.41129396422986,B18,C
169,1,3,qmjoavxkoabcwsamlhntabzwfrcygepssmnwaucc169,male,45.428243637979826,8,3,230434,109.15082668507587,D36,Q
170,0,2,wuytapeekjmcvlmkicsjlrvgqysmflywmmjhfpqv170,male,29.69410654502666,1,3,349207,325.33943306646216,B41,C
171,0,3,taomdrimmqwbmglvmvnmlnoqrbcwjfsoqqejzbyx171,male,7.732053812814168,5,6,113773,441.983377250739,D11,Q
172,0,1,bmmiulqmbrjngoxjcruesegotsuucaiczlmaqvvi172,female,77.01946107332728,2,4,239854,288.4220113154504,A34,
173,0,2,yilyptrepydmquogcwevssboapvuypqsatkywzjl173,male,6.629628270818172,3,4,112050,126.4304299528856,E10,C
174,0,3,hbtqoxmvsjvseudevxhrtwsdeczekvbxhpfxtznx174,female,56.175484112621845,3,4,C 7075,25.57913760787141,E44,
175,0,3,zuprgsjgqzknopllsrezfuyfvedcbtswjesmavuq175,female,,1,5,248698,157.67439439188945,B77,C
176,0,1,sdampwijgvzhcmelnqtfonngkmnzwmxyeqhezwza176,male,63.05572444771703,8,5,29104,432.9223337866991,B42,Q
177,1,1,qrgkgcreubdvsldhcloecqxsvytunmpxizunbtoa177,male,33.5886119702499,8,1,SC/PARIS 2146,449.6387159188868,F E69,S
178,0,2,vfyuxrmnbctfhwevhknewuellixoltgiixowkruo178,male,40.39182634790873,8,3,382651,0.9888246205133248,B35,C
179,1,2,pusenbinqrnskgnopfuphwjvhrbfakpvbvieefnv179,male,69.1806341104248,8,5,113043,66.23142688476474,B4,
180,1,2,mxadoqtkjjvpuwqzqaanzdglyhyaraiywegzndgj180,male,5.354478892741063,4,2,226875,67.66715096442137,A32,
181,1,3,mwmcohnefanozptwznwdoqorreuqccdnidajbkhd181,male,16.149501643174816,4,0,362316,410.7290861639746,B102,S
182,1,3,dfdywfzennwkwihdmqxdkhkrxxxkujfsthkoatak182,male,29.674505509270208,0,1,349256,480.5056648162989,C49,S
183,0,1,xqtqoqkicpafsvzynemjfjqwdxflltsxgimtwufx183,female,25.43946622321362,0,2,248747,482.0454246120678,B28,S
184,0,3,bfbiawbsonffbygaouplbohwcniftchdnshobhxt184,male,21.74426156387266,4,3,SC/Paris 2123,129.91754624775248,C148,Q
185,0,1,vvqygmhpfjmtpkrawvkfbvtfkxqgfxnuocguxoqu185,female,59.893738320082754,5,5,35273,272.77431112870767,B50,C
186,1,3,vnqcdghbvrpkofvehvnqmknntxexrlrizqjqczea186,female,78.54268270409978,8,0,349218,139.77743028264646,C7,C
187,0,2,nridnubrgmrcuxiyljsjjrbowzfidnswbobhgfbf187,male,50.639264768716686,5,4,350035,492.82793430834283,C68,C
188,0,1,gbimbugphunltlzyubmffyzcuyuorxqactgyoeit188,female,19.183449394849497,1,3,65303,242.2976514840171,B102,
189,1,3,dadhtmavurkcaraqcjfgssysagyaibdmmslybjyu189,female,29.816920579308462,4,3,2693,4.083000124280946,E17,S
190,0,3,wnpenwueskzabtutmltizjzpbuuifpsjgtcnwwcx190,male,45.83796917535517,0,6,315153,392.7942393531716,E24,C
191,0,2,zyprjjwuyhnnsptvwowfrvuwcnnpkcgpfqokinmf191,female,10.96766395894585,4,2,243880,144.86639158449734,C91,
192,0,3,jtdifsexehnouyluizaclfutteknbrprexyexaxn192,female,36.23706487876789,1,6,236852,345.21985318974225,C23 C25 C27,
193,0,1,cgclxpootdlmwjcwauxzmrsabpgsbavqrgymjogs193,female,52.91219966461257,0,4,SOTON/O.Q. 3101307,116.70654486850346,C93,
194,1,2,buaydlucsymqrupabbchsxhbirwnikfcpfcqdzkg194,male,65.4145843271461,4,2,7267,193.236300589782,B69,C
